concept_id,concept,cluster_id,branch_name,reconstructed_proto_form,ipa_form,confidence_score,articulatory_notes,primary_proto_attestations,daughter_attestations
44,black,branch_african,Proto-Sapiens Africanus (Праафриканский),*u,u,0.98,"Reconstructed stem *u with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *žō; Proto-!Wi: *!oe ~ *!ʰoe #,Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *žō; Proto-!Wi: *!oe ~ *!ʰoe #; Aasax: =biasa
45,stand,branch_african,Proto-Sapiens Africanus (Праафриканский),*tɛ,tɛ,0.98,"Reconstructed stem *tɛ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *tɛ; Proto-Khoekhoe: *mã; Proto North Khoisan: *ʔṹ,Proto-Kalahari Khoe: *tɛ; Proto-Khoekhoe: *mã; Proto North Khoisan: *ʔṹ; Aasax: hut-; Nayi [noz]: aš-kio #
46,sit,branch_african,Proto-Sapiens Africanus (Праафриканский),*ũ,ũ,0.98,"Reconstructed stem *ũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ũ; Proto-Khoekhoe: *u ~ *ũ; Proto North Khoisan: *ʔá; Proto-!Wi: *soʔ-,Proto-Kalahari Khoe: *ũ; Proto-Khoekhoe: *u ~ *ũ; Proto North Khoisan: *ʔá; Proto-!Wi: *soʔ-; Aasax: ʔamim-
47,see,branch_african,Proto-Sapiens Africanus (Праафриканский),*mũ,mũ,0.98,"Reconstructed stem *mũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *mũ; Proto-Khoekhoe: *mũ; Proto North Khoisan: *sé ~ *hé; Proto-!Wi: *a ~ *i,Proto-Kalahari Khoe: *mũ; Proto-Khoekhoe: *mũ; Proto North Khoisan: *sé ~ *hé; Proto-!Wi: *a ~ *i; Aasax: ʔadam-
48,hear,branch_african,Proto-Sapiens Africanus (Праафриканский),*kúḿ,kúḿ,0.98,"Reconstructed stem *kúḿ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *kúḿ; Proto-Khoekhoe: *ãũ; Proto North Khoisan: *sàʔā; Proto-!Wi: *tu,Proto-Kalahari Khoe: *kúḿ; Proto-Khoekhoe: *ãũ; Proto North Khoisan: *sàʔā; Proto-!Wi: *tu; Aasax: has-
49,know,branch_african,Proto-Sapiens Africanus (Праафриканский),*!ʼã,!ʼã,0.98,"Reconstructed stem *!ʼã with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!ʼã; Proto-Khoekhoe: *ǂʼan; Proto North Khoisan: *!ʼʰã; Proto-!Wi: *ǁxae #,Proto-Kalahari Khoe: *!ʼã; Proto-Khoekhoe: *ǂʼan; Proto North Khoisan: *!ʼʰã; Proto-!Wi: *ǁxae #; Aasax: šah-
50,rain,branch_african,Proto-Sapiens Africanus (Праафриканский),*tu,tu,0.98,"Reconstructed stem *tu with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *tu; Proto-Khoekhoe: *tu-; Proto North Khoisan: *à; Proto-!Wi: *ǂqa-,Proto-Kalahari Khoe: *tu; Proto-Khoekhoe: *tu-; Proto North Khoisan: *à; Proto-!Wi: *ǂqa-; Aasax: miǯ-ok
51,all,branch_african,Proto-Sapiens Africanus (Праафриканский),*we-,we-,0.98,"Reconstructed stem *we- with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *we- #; Proto-Khoekhoe: *hoa; Proto North Khoisan: *wòe-še; Proto-!Wi: *ku #,Proto-Kalahari Khoe: *we- #; Proto-Khoekhoe: *hoa; Proto North Khoisan: *wòe-še; Proto-!Wi: *ku #; Aasax: wataka
52,ashes,branch_african,Proto-Sapiens Africanus (Праафриканский),*oa,oa,0.98,"Reconstructed stem *oa with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *oa; Proto-Khoekhoe: *tʰao-; Proto North Khoisan: *t; Proto-!Wi: *!qui #,Proto-Kalahari Khoe: *oa; Proto-Khoekhoe: *tʰao-; Proto North Khoisan: *t; Proto-!Wi: *!qui #; Aasax: wura-to
53,bark,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁxʼũ,ǁxʼũ,0.98,"Reconstructed stem *ǁxʼũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁxʼũ; Proto-Khoekhoe: *soro-; Proto North Khoisan: *ʔrV,Proto-Kalahari Khoe: *ǁxʼũ; Proto-Khoekhoe: *soro-; Proto North Khoisan: *ʔrV; Nayi [noz]: orkn #; Chara [cra]: gˈong-a; gˈurʔ-a
54,belly,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀa ~ a,ǀa ~ a,0.98,"Reconstructed stem *ǀa ~ a with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀa ~ *a; Proto-Khoekhoe: *a-; Proto North Khoisan: *ú,Proto-Kalahari Khoe: *ǀa ~ *a; Proto-Khoekhoe: *a-; Proto North Khoisan: *ú; Nayi [noz]: yiːn-u #; Chara [cra]: ʔˈiːn-a
55,big,branch_african,Proto-Sapiens Africanus (Праафриканский),*kai,kai,0.98,"Reconstructed stem *kai with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *kai #; Proto-Khoekhoe: *kai; Proto North Khoisan: *àʔà ~ *ʔ; Proto-!Wi: *!xo #; *u-si ~ *o-si #,Proto-Kalahari Khoe: *kai #; Proto-Khoekhoe: *kai; Proto North Khoisan: *àʔà ~ *ʔ; Proto-!Wi: *!xo #; *u-si ~ *o-si #; Aasax: =ǯira
56,bird,branch_african,Proto-Sapiens Africanus (Праафриканский),*ʒara,ʒara,0.98,"Reconstructed stem *ʒara with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ʒara; Proto-Khoekhoe: *xʼani-; Proto North Khoisan: *cʼā(m)-mà; Proto-!Wi: *ǀqʰu-,Proto-Kalahari Khoe: *ʒara; Proto-Khoekhoe: *xʼani-; Proto North Khoisan: *cʼā(m)-mà; Proto-!Wi: *ǀqʰu-; Aasax: širaʔa
57,bite,branch_african,Proto-Sapiens Africanus (Праафриканский),*pa,pa,0.98,"Reconstructed stem *pa with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *pa; Proto-Khoekhoe: *ba #; Proto North Khoisan: *ʔāē; Proto-!Wi: *cʼi,Proto-Kalahari Khoe: *pa; Proto-Khoekhoe: *ba #; Proto North Khoisan: *ʔāē; Proto-!Wi: *cʼi; Aasax: ǯalas-
58,claw / nail,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁoro,ǁoro,0.98,"Reconstructed stem *ǁoro with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁoro; *ǁa; Proto-Khoekhoe: *ǁoro-; Proto North Khoisan: *ūʔrú; Proto-!Wi: *ǁqor-,Proto-Kalahari Khoe: *ǁoro; *ǁa; Proto-Khoekhoe: *ǁoro-; Proto North Khoisan: *ūʔrú; Proto-!Wi: *ǁqor-; Aasax: seŋ-et
59,cloud,branch_african,Proto-Sapiens Africanus (Праафриканский),*!à=!kxúí,!à=!kxúí,0.98,"Reconstructed stem *!à=!kxúí with initial labial/dental stop, open vowel, and preserved root structure.",Proto North Khoisan: *!à=!kxúí #,Proto North Khoisan: *!à=!kxúí #; Aasax: buʕurita; Nayi [noz]: diː; Chara [cra]: tˈug-na; Dorze [doz]: guːl-e
60,cold,branch_african,Proto-Sapiens Africanus (Праафриканский),*!qʰai,!qʰai,0.98,"Reconstructed stem *!qʰai with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!qʰai; Proto-Khoekhoe: *!xai; Proto North Khoisan: *ǂàʔū,Proto-Kalahari Khoe: *!qʰai; Proto-Khoekhoe: *!xai; Proto North Khoisan: *ǂàʔū; Nayi [noz]: šow; Chara [cra]: šˈač-a
61,dry,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁxo,ǁxo,0.98,"Reconstructed stem *ǁxo with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁxo; Proto-Khoekhoe: *ǀʼo; Proto North Khoisan: *kxau; Proto-!Wi: *ǁo #,Proto-Kalahari Khoe: *ǁxo; Proto-Khoekhoe: *ǀʼo; Proto North Khoisan: *kxau; Proto-!Wi: *ǁo #; Aasax: =rakaš
62,feather,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǂʼũ,ǂʼũ,0.98,"Reconstructed stem *ǂʼũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *!ʼam-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ʔã,Proto-Kalahari Khoe: *ǂʼũ; Proto-Khoekhoe: *!ʼam-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ʔã; Aasax: seʔem-uk
63,fly,branch_african,Proto-Sapiens Africanus (Праафриканский),*om,om,0.98,"Reconstructed stem *om with initial labial/dental stop, open vowel, and preserved root structure.",Proto North Khoisan: *om #; Proto-!Wi: *zeˤ #,Proto North Khoisan: *om #; Proto-!Wi: *zeˤ #; Aasax: ǯiʔit-; Chara [cra]: wˈol-; Dorze [doz]: pʼirapʼ-ires
64,hair,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀʼũ,ǀʼũ,0.98,"Reconstructed stem *ǀʼũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀʼũ; Proto-Khoekhoe: *ǀʼũ-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ǀʰu,Proto-Kalahari Khoe: *ǀʼũ; Proto-Khoekhoe: *ǀʼũ-; Proto North Khoisan: *!kxúí; Proto-!Wi: *ǀʰu; Aasax: seʔem-uk
65,horn,branch_african,Proto-Sapiens Africanus (Праафриканский),*â,â,0.98,"Reconstructed stem *â with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *â; Proto-Khoekhoe: *ã-; Proto North Khoisan: *!ʰú; Proto-!Wi: *ǁẽĩ,Proto-Kalahari Khoe: *â; Proto-Khoekhoe: *ã-; Proto North Khoisan: *!ʰú; Proto-!Wi: *ǁẽĩ; Aasax: hadoŋ
66,kill,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀxʼũ,ǀxʼũ,0.98,"Reconstructed stem *ǀxʼũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀxʼũ; Proto-Khoekhoe: *!am; Proto North Khoisan: *!ʰṹ; Proto-!Wi: *ǀʰa ~ *ǀʰi #,Proto-Kalahari Khoe: *ǀxʼũ; Proto-Khoekhoe: *!am; Proto North Khoisan: *!ʰṹ; Proto-!Wi: *ǀʰa ~ *ǀʰi #; Aasax: ga-s-
67,knee,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁoɛ,ǁoɛ,0.98,"Reconstructed stem *ǁoɛ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁoɛ; Proto-Khoekhoe: *ǁoa-; Proto North Khoisan: *xòà; Proto-!Wi: *u-aŋ ~ *o-aŋ,Proto-Kalahari Khoe: *ǁoɛ; Proto-Khoekhoe: *ǁoa-; Proto North Khoisan: *xòà; Proto-!Wi: *u-aŋ ~ *o-aŋ; Aasax: ŋulu-et
68,leaf,branch_african,Proto-Sapiens Africanus (Праафриканский),*ana,ana,0.98,"Reconstructed stem *ana with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ana; Proto North Khoisan: *oa #,Proto-Kalahari Khoe: *ana; Proto North Khoisan: *oa #; Aasax: debiya; Nayi [noz]: ai; Chara [cra]: wˈuy-a
69,lie,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁoe,ǁoe,0.98,"Reconstructed stem *ǁoe with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁoe; Proto-Khoekhoe: *ǁoe; Proto North Khoisan: *šú; Proto-!Wi: *ta,Proto-Kalahari Khoe: *ǁoe; Proto-Khoekhoe: *ǁoe; Proto North Khoisan: *šú; Proto-!Wi: *ta; Aasax: ʔat-
70,liver,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼẽĩ,xʼẽĩ,0.98,"Reconstructed stem *xʼẽĩ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼẽĩ; Proto-Khoekhoe: *xʼãĩ-; Proto North Khoisan: *či; Proto-!Wi: *aN,Proto-Kalahari Khoe: *xʼẽĩ; Proto-Khoekhoe: *xʼãĩ-; Proto North Khoisan: *či; Proto-!Wi: *aN; Aasax: dowo
71,long,branch_african,Proto-Sapiens Africanus (Праафриканский),*!ao,!ao,0.98,"Reconstructed stem *!ao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!ao; Proto-Khoekhoe: *kai-xu; Proto North Khoisan: *aʔŋ; Proto-!Wi: *ǀʼã,Proto-Kalahari Khoe: *!ao; Proto-Khoekhoe: *kai-xu; Proto North Khoisan: *aʔŋ; Proto-!Wi: *ǀʼã; Aasax: ǯada
72,louse,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼuni,xʼuni,0.98,"Reconstructed stem *xʼuni with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼuni; Proto-Khoekhoe: *xʼuri-; Proto North Khoisan: *cʼí; Proto-!Wi: *u-,Proto-Kalahari Khoe: *xʼuni; Proto-Khoekhoe: *xʼuri-; Proto North Khoisan: *cʼí; Proto-!Wi: *u-; Aasax: ʔita
73,man,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼao,xʼao,0.98,"Reconstructed stem *xʼao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *xʼao-; Proto North Khoisan: *!ʼʰõã; Proto-!Wi: *ǂo ~ *ǂʼo #,Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *xʼao-; Proto North Khoisan: *!ʼʰõã; Proto-!Wi: *ǂo ~ *ǂʼo #; Aasax: hat-uk
74,many,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼao,xʼao,0.98,"Reconstructed stem *xʼao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *ǂui #; Proto North Khoisan: *ǂʰí; Proto-!Wi: *ǂo ~ *ǂʼo #,Proto-Kalahari Khoe: *xʼao; Proto-Khoekhoe: *ǂui #; Proto North Khoisan: *ǂʰí; Proto-!Wi: *ǂo ~ *ǂʼo #; Aasax: =šaʔi
75,meat,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼo-xu,xʼo-xu,0.98,"Reconstructed stem *xʼo-xu with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼo-xu; Proto-Khoekhoe: *xʼo-; Proto North Khoisan: *ʰā; Proto-!Wi: *ʘoa,Proto-Kalahari Khoe: *xʼo-xu; Proto-Khoekhoe: *xʼo-; Proto North Khoisan: *ʰā; Proto-!Wi: *ʘoa; Aasax: ʔaga
76,mountain,branch_african,Proto-Sapiens Africanus (Праафриканский),*ti,ti,0.98,"Reconstructed stem *ti with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ǀʼui-; Proto North Khoisan: *ʔòm; Proto-!Wi: *!ao #,Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ǀʼui-; Proto North Khoisan: *ʔòm; Proto-!Wi: *!ao #; Aasax: deʔ-ok
77,mouth,branch_african,Proto-Sapiens Africanus (Праафриканский),*xʼam,xʼam,0.98,"Reconstructed stem *xʼam with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xʼam; Proto-Khoekhoe: *xʼam-; Proto North Khoisan: *cʼí; Proto-!Wi: *ǂu,Proto-Kalahari Khoe: *xʼam; Proto-Khoekhoe: *xʼam-; Proto North Khoisan: *cʼí; Proto-!Wi: *ǂu; Aasax: af-ok
78,neck,branch_african,Proto-Sapiens Africanus (Праафриканский),*!xʼao,!xʼao,0.98,"Reconstructed stem *!xʼao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!xʼao; Proto-Khoekhoe: *!xʼao-; Proto North Khoisan: *àŋi; Proto-!Wi: *ǂqu,Proto-Kalahari Khoe: *!xʼao; Proto-Khoekhoe: *!xʼao-; Proto North Khoisan: *àŋi; Proto-!Wi: *ǂqu; Aasax: mirut
79,nose,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǂui,ǂui,0.98,"Reconstructed stem *ǂui with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǂui; Proto-Khoekhoe: *ǂui-; Proto North Khoisan: *ckxú; Proto-!Wi: *u,Proto-Kalahari Khoe: *ǂui; Proto-Khoekhoe: *ǂui-; Proto North Khoisan: *ckxú; Proto-!Wi: *u; Aasax: iriŋa
80,not,branch_african,Proto-Sapiens Africanus (Праафриканский),*=tama,=tama,0.98,"Reconstructed stem *=tama with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *=tama; Proto-Khoekhoe: *tama; Proto North Khoisan: *ǀōā; Proto-!Wi: *ǁ- #,Proto-Kalahari Khoe: *=tama; Proto-Khoekhoe: *tama; Proto North Khoisan: *ǀōā; Proto-!Wi: *ǁ- #; Nayi [noz]: =ōā; =kāy
81,person,branch_african,Proto-Sapiens Africanus (Праафриканский),*kʰoe,kʰoe,0.98,"Reconstructed stem *kʰoe with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *kʰoe; Proto-Khoekhoe: *kʰoe-; Proto North Khoisan: *ǯù; Proto-!Wi: *!u-(i),Proto-Kalahari Khoe: *kʰoe; Proto-Khoekhoe: *kʰoe-; Proto North Khoisan: *ǯù; Proto-!Wi: *!u-(i); Aasax: ʔidu-k
82,road,branch_african,Proto-Sapiens Africanus (Праафриканский),*dao,dao,0.98,"Reconstructed stem *dao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *dao; Proto-Khoekhoe: *dao-; Proto North Khoisan: *ǂʰà; Proto-!Wi: *!an,Proto-Kalahari Khoe: *dao; Proto-Khoekhoe: *dao-; Proto North Khoisan: *ǂʰà; Proto-!Wi: *!an; Aasax: šimu-t
83,root,branch_african,Proto-Sapiens Africanus (Праафриканский),*toˤbe,toˤbe,0.98,"Reconstructed stem *toˤbe with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *toˤbe #; Proto-Khoekhoe: *oma-; Proto North Khoisan: *ani #,Proto-Kalahari Khoe: *toˤbe #; Proto-Khoekhoe: *oma-; Proto North Khoisan: *ani #; Aasax: mogeŋera; Nayi [noz]: zıga ~ zıgas
84,round,branch_african,Proto-Sapiens Africanus (Праафриканский),*gɐrti,gɐrti,0.88,"Reconstructed stem *gɐrti with initial labial/dental stop, open vowel, and preserved root structure.",Nayi [noz]: gɐrdi,Nayi [noz]: gɐrdi; Caning [shj]: turuʔus; Nyala [daj]: kleŋ; Hmong Njua [hnj]: qʰeŋ5 ~ kʰeŋ5; Kashaya [kju]: poloːlo
85,sand,branch_african,Proto-Sapiens Africanus (Праафриканский),*xom,xom,0.98,"Reconstructed stem *xom with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *xom; Proto-Khoekhoe: *ǁxae- #; Proto North Khoisan: *kxà; Proto-!Wi: *!ʼãũ ~ *!qʼãũ,Proto-Kalahari Khoe: *xom; Proto-Khoekhoe: *ǁxae- #; Proto North Khoisan: *kxà; Proto-!Wi: *!ʼãũ ~ *!qʼãũ; Aasax: haǯa-t
86,say,branch_african,Proto-Sapiens Africanus (Праафриканский),*mĩ,mĩ,0.98,"Reconstructed stem *mĩ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *mĩ; Proto-Khoekhoe: *mĩ; Proto North Khoisan: *kò; Proto-!Wi: *ka ~ *ku,Proto-Kalahari Khoe: *mĩ; Proto-Khoekhoe: *mĩ; Proto North Khoisan: *kò; Proto-!Wi: *ka ~ *ku; Aasax: šah-
87,seed,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀxuri,ǀxuri,0.98,"Reconstructed stem *ǀxuri with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀxuri; Proto-Khoekhoe: *!xum-; Proto North Khoisan: *!ó; Proto-!Wi: *a ~ *i,Proto-Kalahari Khoe: *ǀxuri; Proto-Khoekhoe: *!xum-; Proto North Khoisan: *!ó; Proto-!Wi: *a ~ *i; Aasax: ʔadam-
88,skin,branch_african,Proto-Sapiens Africanus (Праафриканский),*kʰo,kʰo,0.98,"Reconstructed stem *kʰo with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *kʰo; Proto-Khoekhoe: *kʰo-; Proto North Khoisan: *ō; Proto-!Wi: *tuŋ,Proto-Kalahari Khoe: *kʰo; Proto-Khoekhoe: *kʰo-; Proto North Khoisan: *ō; Proto-!Wi: *tuŋ; Nayi [noz]: fat-u #
89,sleep,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁʼom,ǁʼom,0.98,"Reconstructed stem *ǁʼom with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁʼom; Proto-Khoekhoe: *ǁʼum; Proto North Khoisan: *cʼā; Proto-!Wi: *ʘu- ~ *ʘi-,Proto-Kalahari Khoe: *ǁʼom; Proto-Khoekhoe: *ǁʼum; Proto North Khoisan: *cʼā; Proto-!Wi: *ʘu- ~ *ʘi-; Aasax: raʔ #
90,small,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀxʼare,ǀxʼare,0.98,"Reconstructed stem *ǀxʼare with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀxʼare; Proto-Khoekhoe: *ǀa; Proto North Khoisan: *cʼe ~ *cʼe-mà; Proto-!Wi: *ǂʼeni,Proto-Kalahari Khoe: *ǀxʼare; Proto-Khoekhoe: *ǀa; Proto North Khoisan: *cʼe ~ *cʼe-mà; Proto-!Wi: *ǂʼeni; Aasax: ʔara
91,smoke,branch_african,Proto-Sapiens Africanus (Праафриканский),*cʼani,cʼani,0.98,"Reconstructed stem *cʼani with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *cʼani; Proto-Khoekhoe: *ǀxʼan-; Proto North Khoisan: *šórè ~ *šórà; Proto-!Wi: *ǁoˤ,Proto-Kalahari Khoe: *cʼani; Proto-Khoekhoe: *ǀxʼan-; Proto North Khoisan: *šórè ~ *šórà; Proto-!Wi: *ǁoˤ; Aasax: toʔusay-ok
92,snake,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀxʼao,ǀxʼao,0.98,"Reconstructed stem *ǀxʼao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀxʼao; Proto-Khoekhoe: *ǀxʼao-; Proto North Khoisan: *ǂʼgà ~ *ǂʼwà; Proto-!Wi: *ǀxʼa-,Proto-Kalahari Khoe: *ǀxʼao; Proto-Khoekhoe: *ǀxʼao-; Proto North Khoisan: *ǂʼgà ~ *ǂʼwà; Proto-!Wi: *ǀxʼa-; Nayi [noz]: šoš #
93,swim,branch_african,Proto-Sapiens Africanus (Праафриканский),*bara,bara,0.98,"Reconstructed stem *bara with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *bara; Proto-Khoekhoe: *tʰã; Proto North Khoisan: *dȍ ~ *dȕ; Proto-!Wi: *ŋ,Proto-Kalahari Khoe: *bara; Proto-Khoekhoe: *tʰã; Proto North Khoisan: *dȍ ~ *dȕ; Proto-!Wi: *ŋ; Nayi [noz]: wok-n #
94,tail,branch_african,Proto-Sapiens Africanus (Праафриканский),*cao,cao,0.98,"Reconstructed stem *cao with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *cao; Proto-Khoekhoe: *sao-; Proto North Khoisan: *xōē; Proto-!Wi: *ǀa- #,Proto-Kalahari Khoe: *cao; Proto-Khoekhoe: *sao-; Proto North Khoisan: *xōē; Proto-!Wi: *ǀa- #; Aasax: hesa
95,that,branch_african,Proto-Sapiens Africanus (Праафриканский),*a-,a-,0.98,"Reconstructed stem *a- with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *a- #; Proto-Khoekhoe: a-; Proto North Khoisan: *toʔà ~ *ndoʔà,Proto-Kalahari Khoe: *a- #; Proto-Khoekhoe: a-; Proto North Khoisan: *toʔà ~ *ndoʔà; Nayi [noz]: nē-; Chara [cra]: sˈekn ~ sˈekɐn
96,this,branch_african,Proto-Sapiens Africanus (Праафриканский),*e,e,0.98,"Reconstructed stem *e with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *e; Proto-Khoekhoe: *ne #; Proto North Khoisan: *ŋ; Proto-!Wi: *a,Proto-Kalahari Khoe: *e; Proto-Khoekhoe: *ne #; Proto North Khoisan: *ŋ; Proto-!Wi: *a; Nayi [noz]: hāː-
97,walk / go,branch_african,Proto-Sapiens Africanus (Праафриканский),*!ũ,!ũ,0.98,"Reconstructed stem *!ũ with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!ũ; Proto-Khoekhoe: *!ũ; Proto North Khoisan: *ú; Proto-!Wi: *ǁʼa-,Proto-Kalahari Khoe: *!ũ; Proto-Khoekhoe: *!ũ; Proto North Khoisan: *ú; Proto-!Wi: *ǁʼa-; Nayi [noz]: teː
98,warm / hot,branch_african,Proto-Sapiens Africanus (Праафриканский),*kʰúí,kʰúí,0.98,"Reconstructed stem *kʰúí with initial labial/dental stop, open vowel, and preserved root structure.",Proto North Khoisan: *kʰúí,Proto North Khoisan: *kʰúí; Aasax: hareta; Nayi [noz]: kʼec-ua; Chara [cra]: kʼesʼ; kʼtsʼɐb; Dorze [doz]: hoʔo
99,woman,branch_african,Proto-Sapiens Africanus (Праафриканский),*ae,ae,0.98,"Reconstructed stem *ae with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ae; Proto-Khoekhoe: *tara-; Proto North Khoisan: *ʒʰau; Proto-!Wi: *ǀʼa- ~ *ǀa-,Proto-Kalahari Khoe: *ae; Proto-Khoekhoe: *tara-; Proto North Khoisan: *ʒʰau; Proto-!Wi: *ǀʼa- ~ *ǀa-; Aasax: mayi-to
100,yellow,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀȁŋu,ǀȁŋu,0.98,"Reconstructed stem *ǀȁŋu with initial labial/dental stop, open vowel, and preserved root structure.",Proto North Khoisan: *ǀȁŋu,Proto North Khoisan: *ǀȁŋu; Nayi [noz]: turgi; Chara [cra]: tˈočʼɐr-a; Caning [shj]: buʔbbəx; Lagowa [daj]: pušša
101,far,branch_african,Proto-Sapiens Africanus (Праафриканский),*u,u,0.98,"Reconstructed stem *u with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *ǂx; Proto-!Wi: *ǁoe ~ *ǁõẽ #,Proto-Kalahari Khoe: *u; Proto-Khoekhoe: *u; Proto North Khoisan: *ǂx; Proto-!Wi: *ǁoe ~ *ǁõẽ #; Aasax: saŋa
